time	I(L1)
6.341729000000054e-04	7.691334e-01
6.345185000000108e-04	1.485199e-01
6.352097000000217e-04	-8.596110e-01
6.365921000000435e-04	-2.532492e+00
6.388279359756203e-04	-4.624608e+00
6.432996079267739e-04	-7.095630e+00
6.487208307706993e-04	-7.800018e+00
6.556543766131724e-04	-6.470384e+00
6.640501456106068e-04	-3.448381e+00
6.667000000000000e-04	-2.337007e+00
6.667230000000000e-04	-2.327040e+00
6.667690000000000e-04	-2.306007e+00
6.668609999999999e-04	-2.256604e+00
6.669299999999999e-04	-2.212561e+00
6.669320000000000e-04	-2.211080e+00
6.669359999999999e-04	-2.207845e+00
6.669439999999999e-04	-2.200207e+00
6.669447500000000e-04	-2.199399e+00
6.669462499999999e-04	-2.197734e+00
6.669492499999999e-04	-2.192928e+00
6.669499999999999e-04	-2.191518e+00
6.669500749999999e-04	-2.191373e+00
6.669502250000000e-04	-2.191083e+00
6.669505250000000e-04	-2.190503e+00
6.669511250000000e-04	-2.189345e+00
6.669523250000001e-04	-2.187029e+00
6.669547250000002e-04	-2.182394e+00
6.669595250000005e-04	-2.173116e+00
6.669691250000009e-04	-2.154547e+00
6.669883250000019e-04	-2.117412e+00
6.670267250000040e-04	-2.043281e+00
6.671035250000079e-04	-1.895697e+00
6.672000000000000e-04	-1.711663e+00
6.672096474999991e-04	-1.693355e+00
6.672289424999975e-04	-1.656795e+00
6.672675324999943e-04	-1.583946e+00
6.673447124999880e-04	-1.439112e+00
6.674990724999752e-04	-1.152337e+00
6.678077924999496e-04	-5.901178e-01
6.684252324998986e-04	4.882480e-01
6.696601124997966e-04	2.456105e+00
6.721298724995924e-04	5.634336e+00
6.762313598773526e-04	8.013323e+00
6.809028989106325e-04	8.291856e+00
6.871069609775802e-04	6.707623e+00
6.947835138100236e-04	3.651496e+00
7.000000000000000e-04	1.506454e+00
7.000300000000000e-04	1.494066e+00
7.000900000000000e-04	1.466976e+00
7.002099999999999e-04	1.399729e+00
7.002999999999999e-04	1.337331e+00
7.003020000000000e-04	1.335729e+00
7.003059999999999e-04	1.332297e+00
7.003139999999999e-04	1.324234e+00
7.003199999999999e-04	1.314424e+00
7.003205999999999e-04	1.313279e+00
